1614127630
Time, TempA, TempB
0, 69.2, 69.2
10, 69.2, 69.2
20, 69.2, 69.2
30, 69.2, 69.2
40, 69.2, 69.2
51, 69.2, 69.2
61, 69.2, 69.2
71, 69.2, 69.2
81, 69.2, 69.2
91, 69.2, 69.2
102, 69.2, 69.2
112, 69.2, 69.2
122, 69.2, 69.2
132, 69.2, 69.2
142, 69.2, 69.2
153, 69.2, 69.2
163, 69.2, 69.2
173, 69.2, 69.2
183, 69.2, 69.2
193, 69.2, 69.2
204, 69.2, 69.2
214, 69.2, 69.2
224, 69.2, 69.2
234, 69.2, 69.2
244, 69.2, 69.2
254, 69.2, 69.2
265, 69.2, 69.2
275, 69.2, 69.2
285, 69.2, 69.2
295, 69.2, 69.2
305, 69.2, 69.2
315, 69.2, 69.2
326, 69.2, 69.2
336, 69.2, 69.2
346, 69.2, 69.2
356, 69.2, 69.2
366, 69.2, 69.2
377, 69.2, 69.2
387, 69.2, 69.2
397, 69.2, 69.2
407, 69.2, 69.2
418, 69.2, 69.2
428, 69.2, 69.2
438, 69.2, 69.2
448, 69.2, 69.2
458, 69.2, 69.2
469, 69.2, 69.2
479, 69.2, 69.2
489, 69.2, 69.2
499, 69.2, 69.2
509, 69.2, 69.2
519, 69.2, 69.2
530, 69.2, 69.2
540, 69.2, 69.2
550, 69.2, 69.2
560, 69.2, 69.2
570, 69.2, 69.2
581, 69.2, 69.2
591, 69.2, 69.2
601, 69.2, 69.2
611, 69.2, 69.2
621, 69.2, 69.2
632, 69.2, 69.2
642, 69.2, 69.2
652, 69.2, 69.2
662, 69.2, 69.2
672, 69.2, 69.2
683, 69.2, 69.2
693, 69.2, 69.2
703, 69.2, 69.2
713, 69.2, 69.2
723, 69.2, 69.2
734, 69.2, 69.2
744, 69.2, 69.2
754, 69.2, 69.2
764, 69.2, 69.2
774, 69.2, 69.2
785, 69.2, 69.2
795, 69.2, 69.2
805, 69.2, 69.2
815, 69.2, 69.2
825, 69.2, 69.2
835, 69.2, 69.2
845, 69.2, 69.2
856, 69.2, 69.2
866, 69.2, 69.2
876, 69.2, 69.2
886, 69.2, 69.2
896, 69.2, 69.2
907, 69.2, 69.2
917, 69.2, 69.2
927, 69.2, 69.2
937, 69.2, 69.2
947, 69.2, 69.2
958, 69.2, 69.2
968, 69.2, 69.2
978, 69.2, 69.2
988, 69.2, 69.2
998, 69.2, 69.2
1009, 69.2, 69.2
1019, 69.2, 69.2
1029, 69.2, 69.2
1039, 69.2, 69.2
1049, 69.2, 69.2
1060, 69.2, 69.2
1070, 69.2, 69.2
1080, 69.2, 69.2
1090, 69.2, 69.2
1100, 69.2, 69.2
1111, 69.2, 69.2
1121, 69.2, 69.2
1131, 69.2, 69.2
1141, 69.2, 69.2
1151, 69.2, 69.2
1162, 69.2, 69.2
1172, 69.2, 69.2
1182, 69.2, 69.2
1192, 69.2, 69.2
1202, 69.2, 69.2
1213, 69.2, 69.2
1223, 69.2, 69.2
1233, 69.2, 69.2
1243, 69.2, 69.2
1253, 69.2, 69.2
1264, 69.2, 69.2
1274, 69.2, 69.2
1284, 69.2, 69.2
1294, 69.2, 69.2
1305, 69.2, 69.2
1315, 69.2, 69.2
1325, 69.2, 69.2
1335, 69.2, 69.2
1346, 69.2, 69.2
1356, 69.2, 69.2
1366, 69.2, 69.2
1376, 69.2, 69.2
1386, 69.2, 69.2
1397, 69.2, 69.2
1407, 69.2, 69.2
1417, 69.2, 69.2
1427, 69.2, 69.2
1438, 69.2, 69.2
1448, 69.2, 69.2
1458, 69.2, 69.2
1468, 69.2, 69.2
1478, 69.2, 69.2
1489, 69.2, 69.2
1499, 69.2, 69.2
1509, 69.2, 69.2
1519, 69.2, 69.2
1529, 69.2, 69.2
1540, 69.2, 69.2
1550, 69.2, 69.2
1560, 69.2, 69.2
1570, 69.2, 69.2
1580, 69.2, 69.2
1591, 69.2, 69.2
1601, 69.2, 69.2
1611, 69.2, 69.2
1621, 69.2, 69.2
1631, 69.2, 69.2
1642, 69.2, 69.2
1652, 69.2, 69.2
1662, 69.2, 69.2
1672, 69.2, 69.2
1682, 69.2, 69.2
1693, 69.2, 69.2
1703, 69.2, 69.2
1713, 69.2, 69.2
1723, 69.2, 69.2
1733, 69.2, 69.2
1744, 69.2, 69.2
1754, 69.2, 69.2
1764, 69.2, 69.2
1774, 69.2, 69.2
1785, 69.2, 69.2
1795, 69.2, 69.2
1805, 69.2, 69.2
1815, 69.2, 69.2
1825, 69.2, 69.2
1836, 69.2, 69.2
1846, 69.2, 69.2
1856, 69.2, 69.2
1866, 69.2, 69.2
1876, 69.2, 69.2
1887, 69.2, 69.2
1897, 69.2, 69.2
1907, 69.2, 69.2
1917, 69.2, 69.2
1928, 69.2, 69.2
1938, 69.2, 69.2
1948, 69.2, 69.2
1958, 69.2, 69.2
1968, 69.2, 69.2
1979, 69.2, 69.2
1989, 69.2, 69.2
1999, 69.2, 69.2
2009, 69.2, 69.2
2019, 69.2, 69.2
2030, 69.2, 69.2
2040, 69.2, 69.2
2050, 69.2, 69.2
2060, 69.2, 69.2
2070, 69.2, 69.2
2081, 69.2, 69.2
2091, 69.2, 69.2
2101, 69.2, 69.2
2111, 69.2, 69.2
2121, 69.2, 69.2
2131, 69.2, 69.2
2142, 69.2, 69.2
2152, 69.2, 69.2
2162, 69.2, 69.2
2172, 69.2, 69.2
2182, 69.2, 69.2
2193, 69.2, 69.2
2203, 69.2, 69.2
2213, 69.2, 69.2
2223, 69.2, 69.2
2233, 69.2, 69.2
2243, 69.2, 69.2
2253, 69.2, 69.2
2264, 69.2, 69.2
2274, 69.2, 69.2
2284, 69.2, 69.2
2294, 69.2, 69.2
2304, 69.2, 69.2
2315, 69.2, 69.2
2325, 69.2, 69.2
2335, 69.2, 69.2
2345, 69.2, 69.2
2355, 69.2, 69.2
2366, 69.2, 69.2
2376, 69.2, 69.2
2386, 69.2, 69.2
2396, 69.2, 69.2
2407, 69.2, 69.2
2417, 69.2, 69.2
2427, 69.2, 69.2
2437, 69.2, 69.2
2447, 69.2, 69.2
2458, 69.2, 69.2
2468, 69.2, 69.2
2478, 69.2, 69.2
2488, 69.2, 69.2
2498, 69.2, 69.2
2509, 69.2, 69.2
2519, 69.2, 69.2
2529, 69.2, 69.2
2539, 69.2, 69.2
2549, 69.2, 69.2
2560, 69.2, 69.2
2570, 69.2, 69.2
2580, 69.2, 69.2
2590, 69.2, 69.2
2601, 69.2, 69.2
2611, 69.2, 69.2
2621, 69.2, 69.2
2631, 69.2, 69.2
2641, 69.2, 69.2
2652, 69.2, 69.2
2662, 69.2, 69.2
2672, 69.2, 69.2
2682, 69.2, 69.2
2692, 69.2, 69.2
2703, 69.2, 69.2
2713, 69.2, 69.2
2723, 69.2, 69.2
2733, 69.2, 69.2
2743, 69.2, 69.2
2754, 69.2, 69.2
2764, 69.2, 69.2
2774, 69.2, 69.2
2784, 69.2, 69.2
2794, 69.2, 69.2
2805, 69.2, 69.2
2815, 69.2, 69.2
2825, 69.2, 69.2
2835, 69.2, 69.2
2845, 69.2, 69.2
2856, 69.2, 69.2
2866, 69.2, 69.2
2876, 69.2, 69.2
2886, 69.2, 69.2
2896, 69.2, 69.2
2907, 69.2, 69.2
2917, 69.2, 69.2
2927, 69.2, 69.2
2937, 69.2, 69.2
2947, 69.2, 69.2
2958, 69.2, 69.2
2968, 69.2, 69.2
2978, 69.2, 69.2
2988, 69.2, 69.2
2999, 69.2, 69.2
3009, 69.2, 69.2
3019, 69.2, 69.2
3029, 69.2, 69.2
3039, 69.2, 69.2
3049, 69.2, 69.2
3060, 69.2, 69.2
3070, 69.2, 69.2
3080, 69.2, 69.2
3090, 69.2, 69.2
3100, 69.2, 69.2
3111, 69.2, 69.2
3121, 69.2, 69.2
3131, 69.2, 69.2
3141, 69.2, 69.2
3151, 69.2, 69.2
3161, 69.2, 69.2
3172, 69.2, 69.2
3182, 69.2, 69.2
3192, 69.2, 69.2
3202, 69.2, 69.2
3212, 69.2, 69.2
3223, 69.2, 69.2
3233, 69.2, 69.2
3243, 69.2, 69.2
3253, 69.2, 69.2
3264, 69.2, 69.2
3274, 69.2, 69.2
3284, 69.2, 69.2
3294, 69.2, 69.2
3304, 69.2, 69.2
3315, 69.2, 69.2
3325, 69.2, 69.2
3335, 69.2, 69.2
3345, 69.2, 69.2
3355, 69.2, 69.2
